file,genre,total,a,b,p_a_s,p_b_s,dendro_color
野呂松人形,小説,107,22,0,0.2083333333333330,0.0046296296296296,緑
田端日記,日録,128,12,1,0.0968992248062015,0.0116279069767441,緑
霜夜,随筆,38,3,0,0.0897435897435897,0.0128205128205128,緑
雑筆,随筆,339,39,3,0.1161764705882350,0.0102941176470588,緑
春の日のさした往来をぶらぶら一人歩いてゐる,随筆,41,4,0,0.1071428571428570,0.0119047619047619,緑
偸盗,小説,1439,157,13,0.109375,0.009375,緑
春の夜は,断章,51,5,0,0.1057692307692310,0.0096153846153846,緑
仙人_2,小説,26,2,0,0.0925925925925925,0.0185185185185185,緑
岩野泡鳴氏,人物記,25,2,0,0.0961538461538461,0.0192307692307692,緑
産屋,小説,30,3,0,0.1129032258064520,0.0161290322580645,緑
兄貴のような心持,人物記,22,2,0,0.108695652173913,0.0217391304347826,緑
横須賀小景,散文詩,21,2,0,0.1136363636363640,0.0227272727272727,緑
創作,小説,75,10,0,0.1381578947368420,0.006578947368421,緑
パステルの龍,翻訳,57,8,0,0.146551724137931,0.0086206896551724,緑
人及び芸術家としての薄田泣菫氏,人物記,71,10,0,0.1458333333333330,0.0069444444444444,緑
僕は,断章,40,6,0,0.1585365853658540,0.0121951219512195,緑
水の三日,初期文章,131,20,1,0.1553030303030300,0.0113636363636363,緑
死後,小説,127,18,1,0.14453125,0.01171875,緑
漱石山房の秋,小説,37,5,0,0.1447368421052630,0.0131578947368421,緑
父,小説,124,19,0,0.156,0.004,緑
続文芸的な、余りに文芸的な,評論,154,22,0,0.1451612903225810,0.0032258064516129,緑
葬儀記,記録文,140,20,0,0.1453900709219860,0.0035460992907801,緑
トロツコ,小説,151,17,0,0.1151315789473680,0.0032894736842105,緑
トロッコ_1,小説,151,18,0,0.1217105263157890,0.0032894736842105,緑
百合,小説,203,25,0,0.125,0.0024509803921568,緑
悠々荘,小説,74,9,0,0.1266666666666670,0.0066666666666666,緑
遺書,遺書,91,10,0,0.1141304347826090,0.0054347826086956,緑
奇怪な再会,小説,731,126,86,0.1728142076502730,0.1181693989071040,緑
悪魔,小説,45,8,5,0.1847826086956520,0.1195652173913040,緑
結婚難並びに恋愛難,小説,77,14,7,0.1858974358974360,0.0961538461538461,緑
貝殼,随筆,163,27,15,0.1676829268292680,0.0945121951219512,緑
じゅりあの・吉助,小説,58,6,5,0.1101694915254240,0.0932203389830508,緑
お律と子等と,小説,1011,118,95,0.117094861660079,0.0943675889328063,緑
子供の病気,小説,253,30,24,0.1200787401574800,0.0964566929133858,緑
六の宮の姫君,小説,208,28,17,0.1363636363636360,0.0837320574162679,緑
春,小説,339,48,27,0.1426470588235290,0.0808823529411764,緑
青年と死,戯曲,220,30,21,0.1380090497737560,0.0972850678733031,緑
煙草と悪魔,小説,175,26,17,0.1505681818181820,0.0994318181818181,緑
雑信一束,紀行文,56,8,5,0.1491228070175440,0.0964912280701754,緑
母,小説,335,35,47,0.1056547619047620,0.1413690476190480,緑
古千屋,小説,98,14,12,0.1464646464646460,0.1262626262626260,緑
冬,小説,188,22,23,0.119047619047619,0.1243386243386240,緑
私の好きなロマンス中の女性,アンケート,3,0,0,0.125,0.125,緑
戯作三昧,小説,665,85,81,0.1283783783783780,0.1223723723723720,緑
戯作三昧_1,小説,665,85,82,0.1283783783783780,0.1238738738738740,緑
文反古,小説,133,23,21,0.1753731343283580,0.1604477611940300,緑
文章,小説,240,47,37,0.1970954356846470,0.1556016597510370,緑
東西問答,随筆,51,8,9,0.1634615384615380,0.1826923076923080,緑
三つの宝,戯曲,328,46,58,0.1413373860182370,0.1778115501519760,緑
西郷隆盛,小説,319,43,60,0.1359375,0.1890625,緑
仙人_1,小説,123,9,21,0.0766129032258064,0.1733870967741940,緑
神神の微笑,小説,308,25,54,0.0825242718446602,0.1763754045307440,緑
おしの,小説,150,21,36,0.1423841059602650,0.2417218543046360,緑
アグニの神,小説,278,30,65,0.1093189964157710,0.2347670250896060,緑
アグニの神_1,小説,278,30,64,0.1093189964157710,0.2311827956989250,緑
一人の無名作家,アンケート,14,1,3,0.1,0.2333333333333330,緑
杜子春,小説,267,26,59,0.0988805970149253,0.2220149253731340,緑
杜子春_1,小説,267,27,58,0.1026119402985070,0.2182835820895520,緑
奇遇,小説,219,27,47,0.125,0.2159090909090910,緑
新緑の庭,断章,22,2,4,0.108695652173913,0.1956521739130440,緑
饒舌,小説,60,6,12,0.1065573770491800,0.2049180327868850,緑
イズムと云ふ語の意味次第,評論,21,0,4,0.0227272727272727,0.2045454545454550,緑
永久に不愉快な二重生活,アンケート,13,0,2,0.0357142857142857,0.1785714285714290,緑
白,小説,316,11,67,0.0362776025236593,0.2129337539432180,緑
奉教人の死,小説,337,16,30,0.0488165680473372,0.0902366863905325,緑
犬と笛,小説,234,12,27,0.0531914893617021,0.1170212765957450,緑
道祖問答,小説,74,6,5,0.0866666666666666,0.0733333333333333,緑
往生絵巻,戯曲,174,11,12,0.0657142857142857,0.0714285714285714,緑
沙羅の花,詩歌,8,0,0,0.0555555555555555,0.0555555555555555,緑
俊寛,小説,524,10,62,0.02,0.119047619047619,緑
病中雑記,随筆,71,1,4,0.0208333333333333,0.0625,緑
鬼ごつこ,小説,19,0,1,0.025,0.075,緑
開化の良人,小説,251,61,114,0.244047619047619,0.4543650793650790,緑
舞踏会,小説,128,50,20,0.3914728682170540,0.1589147286821710,緑
haruno_shinzo,翻訳,134,43,25,0.3222222222222220,0.1888888888888890,緑
片恋,小説,182,55,34,0.3032786885245900,0.1885245901639340,緑
或日の大石内蔵助,小説,214,46,65,0.2162790697674420,0.3046511627906980,緑
文芸鑑賞講座,文学論,299,86,89,0.2883333333333330,0.2983333333333330,緑
沼地,小説,62,19,17,0.3095238095238100,0.2777777777777780,緑
