file,genre,total,a,b,p_a_s,p_b_s,dendro_color
鷺と鴛鴦,随筆,41,0,13,0.0119047619047619,0.3214285714285710,赤
十本の針,断章,80,0,24,0.0061728395061728,0.3024691358024690,赤
松江印象記,紀行文,58,0,17,0.0084745762711864,0.2966101694915250,赤
澄江堂雑記,随筆,559,2,160,0.0044642857142857,0.2866071428571430,赤
西方の人,小説,516,1,135,0.0029013539651837,0.2620889748549320,赤
文芸的な、余りに文芸的な,文学論,1892,6,523,0.0034337031167459,0.2765451664025360,赤
金春会の「隅田川」,劇評,113,0,30,0.0043859649122807,0.2675438596491230,赤
沼地,小説,62,0,15,0.0079365079365079,0.246031746031746,赤
変遷その他,随筆,93,0,23,0.0053191489361702,0.25,赤
大川の水,随筆,72,0,18,0.0068493150684931,0.2534246575342470,赤
続芭蕉雑記,評論,76,0,19,0.0064935064935064,0.2532467532467530,赤
平田先生の翻訳,評論,39,0,10,0.0125,0.2625,赤
続澄江堂雑記,随筆,62,0,17,0.0079365079365079,0.2777777777777780,赤
点心,随筆,252,2,69,0.0098814229249011,0.274703557312253,赤
文芸鑑賞講座,文学論,299,2,80,0.0083333333333333,0.2683333333333330,赤
羅生門の後に,跋文,50,0,13,0.0098039215686274,0.2647058823529410,赤
