file,genre,total,a,b,p_a_s,p_b_s
龍村平蔵氏の芸術,評論,23,0,10,0.020833333333333332,0.4375
格さんと食慾,人物記,19,0,10,0.025,0.525
プロレタリア文学論,評論,51,1,24,0.028846153846153848,0.47115384615384615
恋愛と夫婦愛とを混同しては不可ぬ,随筆,43,1,21,0.03409090909090909,0.48863636363636365
讀書の態度,随筆,32,1,11,0.045454545454545456,0.3484848484848485
「支那游記」自序,序文,10,0,3,0.045454545454545456,0.3181818181818182
入社の辞,感想,29,1,9,0.05,0.31666666666666665
解嘲,評論,136,6,42,0.04744525547445255,0.3102189781021898
近藤浩一路氏,人物記,25,0,9,0.019230769230769232,0.36538461538461536
後世,随筆,32,0,11,0.015151515151515152,0.3484848484848485
野人生計事,随筆,142,2,49,0.017482517482517484,0.34615384615384615
侏儒の言葉,断章,1241,12,430,0.010064412238325281,0.3466183574879227
侏儒の言葉_1,断章,1050,11,381,0.010941960038058992,0.36298763082778307
発句私見,評論,43,0,16,0.011363636363636364,0.375
僻見,評論,600,1,201,0.0024958402662229617,0.3352745424292845
続西方の人,小説,277,0,87,0.0017985611510791368,0.3147482014388489
或旧友へ送る手記,遺書,115,0,41,0.004310344827586207,0.3577586206896552
機関車を見ながら,随筆,73,0,27,0.006756756756756757,0.3716216216216216
「仮面」の人々,回想,20,0,6,0.023809523809523808,0.30952380952380953
猿蟹合戦,小説,65,1,20,0.022727272727272728,0.3106060606060606
東京に生れて,アンケート,28,0,8,0.017241379310344827,0.29310344827586204
日本の女,随筆,191,3,58,0.018229166666666668,0.3046875
第四の夫から,小説,87,1,27,0.017045454545454544,0.3125
羅生門_1,小説,162,4,42,0.027607361963190184,0.2607361963190184
文章と言葉と,随筆,29,0,7,0.016666666666666666,0.25
女体,小説,27,0,7,0.017857142857142856,0.26785714285714285
小杉未醒氏,人物記,23,0,6,0.020833333333333332,0.2708333333333333
尼提,小説,70,1,19,0.02112676056338028,0.2746478873239437
鷺と鴛鴦,随筆,41,0,13,0.011904761904761904,0.32142857142857145
十本の針,断章,80,0,24,0.006172839506172839,0.30246913580246915
松江印象記,紀行文,58,0,17,0.00847457627118644,0.2966101694915254
澄江堂雑記,随筆,559,2,160,0.004464285714285714,0.28660714285714284
西方の人,小説,516,1,135,0.0029013539651837525,0.2620889748549323
文芸的な、余りに文芸的な,文学論,1892,6,523,0.003433703116745906,0.2765451664025357
金春会の「隅田川」,劇評,113,0,30,0.0043859649122807015,0.2675438596491228
沼地,小説,62,0,15,0.007936507936507936,0.24603174603174602
変遷その他,随筆,93,0,23,0.005319148936170213,0.25
大川の水,随筆,72,0,18,0.00684931506849315,0.2534246575342466
続芭蕉雑記,評論,76,0,19,0.006493506493506494,0.2532467532467532
平田先生の翻訳,評論,39,0,10,0.0125,0.2625
続澄江堂雑記,随筆,62,0,17,0.007936507936507936,0.2777777777777778
点心,随筆,252,2,69,0.009881422924901186,0.274703557312253
文芸鑑賞講座,文学論,299,2,80,0.008333333333333333,0.2683333333333333
羅生門の後に,跋文,50,0,13,0.00980392156862745,0.2647058823529412
